Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
A,65,A,LATIN CAPITAL LETTER A,GF-latin-core,FALSE,FALSE
B,66,B,LATIN CAPITAL LETTER B,GF-latin-core,FALSE,FALSE
C,67,C,LATIN CAPITAL LETTER C,GF-latin-core,FALSE,FALSE
D,68,D,LATIN CAPITAL LETTER D,GF-latin-core,FALSE,FALSE
E,69,E,LATIN CAPITAL LETTER E,GF-latin-core,FALSE,FALSE
F,70,F,LATIN CAPITAL LETTER F,GF-latin-core,FALSE,FALSE
G,71,G,LATIN CAPITAL LETTER G,GF-latin-core,FALSE,FALSE
H,72,H,LATIN CAPITAL LETTER H,GF-latin-core,FALSE,FALSE
I,73,I,LATIN CAPITAL LETTER I,GF-latin-core,FALSE,FALSE
J,74,J,LATIN CAPITAL LETTER J,GF-latin-core,FALSE,FALSE
K,75,K,LATIN CAPITAL LETTER K,GF-latin-core,FALSE,FALSE
L,76,L,LATIN CAPITAL LETTER L,GF-latin-core,FALSE,FALSE
M,77,M,LATIN CAPITAL LETTER M,GF-latin-core,FALSE,FALSE
N,78,N,LATIN CAPITAL LETTER N,GF-latin-core,FALSE,FALSE
O,79,O,LATIN CAPITAL LETTER O,GF-latin-core,FALSE,FALSE
P,80,P,LATIN CAPITAL LETTER P,GF-latin-core,FALSE,FALSE
Q,81,Q,LATIN CAPITAL LETTER Q,GF-latin-core,FALSE,FALSE
R,82,R,LATIN CAPITAL LETTER R,GF-latin-core,FALSE,FALSE
S,83,S,LATIN CAPITAL LETTER S,GF-latin-core,FALSE,FALSE
T,84,T,LATIN CAPITAL LETTER T,GF-latin-core,FALSE,FALSE
U,85,U,LATIN CAPITAL LETTER U,GF-latin-core,FALSE,FALSE
V,86,V,LATIN CAPITAL LETTER V,GF-latin-core,FALSE,FALSE
W,87,W,LATIN CAPITAL LETTER W,GF-latin-core,FALSE,FALSE
X,88,X,LATIN CAPITAL LETTER X,GF-latin-core,FALSE,FALSE
Y,89,Y,LATIN CAPITAL LETTER Y,GF-latin-core,FALSE,FALSE
Z,90,Z,LATIN CAPITAL LETTER Z,GF-latin-core,FALSE,FALSE
a,97,a,LATIN SMALL LETTER A,GF-latin-core,FALSE,FALSE
b,98,b,LATIN SMALL LETTER B,GF-latin-core,FALSE,FALSE
c,99,c,LATIN SMALL LETTER C,GF-latin-core,FALSE,FALSE
d,100,d,LATIN SMALL LETTER D,GF-latin-core,FALSE,FALSE
e,101,e,LATIN SMALL LETTER E,GF-latin-core,FALSE,FALSE
f,102,f,LATIN SMALL LETTER F,GF-latin-core,FALSE,FALSE
g,103,g,LATIN SMALL LETTER G,GF-latin-core,FALSE,FALSE
h,104,h,LATIN SMALL LETTER H,GF-latin-core,FALSE,FALSE
i,105,i,LATIN SMALL LETTER I,GF-latin-core,FALSE,FALSE
j,106,j,LATIN SMALL LETTER J,GF-latin-core,FALSE,FALSE
k,107,k,LATIN SMALL LETTER K,GF-latin-core,FALSE,FALSE
l,108,l,LATIN SMALL LETTER L,GF-latin-core,FALSE,FALSE
m,109,m,LATIN SMALL LETTER M,GF-latin-core,FALSE,FALSE
n,110,n,LATIN SMALL LETTER N,GF-latin-core,FALSE,FALSE
o,111,o,LATIN SMALL LETTER O,GF-latin-core,FALSE,FALSE
p,112,p,LATIN SMALL LETTER P,GF-latin-core,FALSE,FALSE
q,113,q,LATIN SMALL LETTER Q,GF-latin-core,FALSE,FALSE
r,114,r,LATIN SMALL LETTER R,GF-latin-core,FALSE,FALSE
s,115,s,LATIN SMALL LETTER S,GF-latin-core,FALSE,FALSE
t,116,t,LATIN SMALL LETTER T,GF-latin-core,FALSE,FALSE
u,117,u,LATIN SMALL LETTER U,GF-latin-core,FALSE,FALSE
v,118,v,LATIN SMALL LETTER V,GF-latin-core,FALSE,FALSE
w,119,w,LATIN SMALL LETTER W,GF-latin-core,FALSE,FALSE
x,120,x,LATIN SMALL LETTER X,GF-latin-core,FALSE,FALSE
y,121,y,LATIN SMALL LETTER Y,GF-latin-core,FALSE,FALSE
z,122,z,LATIN SMALL LETTER Z,GF-latin-core,FALSE,FALSE
zero,48,0,DIGIT ZERO,GF-latin-core,FALSE,FALSE
one,49,1,DIGIT ONE,GF-latin-core,FALSE,FALSE
two,50,2,DIGIT TWO,GF-latin-core,FALSE,FALSE
three,51,3,DIGIT THREE,GF-latin-core,FALSE,FALSE
four,52,4,DIGIT FOUR,GF-latin-core,FALSE,FALSE
five,53,5,DIGIT FIVE,GF-latin-core,FALSE,FALSE
six,54,6,DIGIT SIX,GF-latin-core,FALSE,FALSE
seven,55,7,DIGIT SEVEN,GF-latin-core,FALSE,FALSE
eight,56,8,DIGIT EIGHT,GF-latin-core,FALSE,FALSE
nine,57,9,DIGIT NINE,GF-latin-core,FALSE,FALSE
period,46,.,FULL STOP,GF-latin-core,FALSE,FALSE
comma,44,",",COMMA,GF-latin-core,FALSE,FALSE
colon,58,:,COLON,GF-latin-core,FALSE,FALSE
semicolon,59,;,SEMICOLON,GF-latin-core,FALSE,FALSE
periodcentered,183,·,MIDDLE DOT,GF-latin-core,FALSE,FALSE
ellipsis,8230,…,HORIZONTAL ELLIPSIS,GF-latin-core,FALSE,FALSE
exclam,33,!,EXCLAMATION MARK,GF-latin-core,FALSE,FALSE
exclamdown,161,¡,INVERTED EXCLAMATION MARK,GF-latin-core,FALSE,FALSE
question,63,?,QUESTION MARK,GF-latin-core,FALSE,FALSE
questiondown,191,¿,INVERTED QUESTION MARK,GF-latin-core,FALSE,FALSE
quotesingle,39,',APOSTROPHE,GF-latin-core,FALSE,FALSE
quotedbl,34,“,QUOTATION MARK,GF-latin-core,FALSE,FALSE
quoteleft,8216,‘,LEFT SINGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
quoteright,8217,’,RIGHT SINGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
quotesinglbase,8218,‚,SINGLE LOW-9 QUOTATION MARK,GF-latin-core,FALSE,FALSE
quotedblleft,8220,“,LEFT DOUBLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
quotedblright,8221,”,RIGHT DOUBLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
quotedblbase,8222,„,DOUBLE LOW-9 QUOTATION MARK,GF-latin-core,FALSE,FALSE
guilsinglleft,8249,‹,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guilsinglright,8250,›,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guillemetleft,171,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guillemetright,187,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
parenleft,40,(,LEFT PARENTHESIS,GF-latin-core,FALSE,FALSE
parenright,41,),RIGHT PARENTHESIS,GF-latin-core,FALSE,FALSE
