Glyph Name, Unicode, Character, Description, Glyph Set, Optional
A,65,A,LATIN CAPITAL LETTER A,GF-latin-core,0
B,66,B,LATIN CAPITAL LETTER B,GF-latin-core,0
C,67,C,LATIN CAPITAL LETTER C,GF-latin-core,0
D,68,D,LATIN CAPITAL LETTER D,GF-latin-core,0
E,69,E,LATIN CAPITAL LETTER E,GF-latin-core,0
F,70,F,LATIN CAPITAL LETTER F,GF-latin-core,0
G,71,G,LATIN CAPITAL LETTER G,GF-latin-core,0
H,72,H,LATIN CAPITAL LETTER H,GF-latin-core,0
I,73,I,LATIN CAPITAL LETTER I,GF-latin-core,0
J,74,J,LATIN CAPITAL LETTER J,GF-latin-core,0
K,75,K,LATIN CAPITAL LETTER K,GF-latin-core,0
L,76,L,LATIN CAPITAL LETTER L,GF-latin-core,0
M,77,M,LATIN CAPITAL LETTER M,GF-latin-core,0
N,78,N,LATIN CAPITAL LETTER N,GF-latin-core,0
O,79,O,LATIN CAPITAL LETTER O,GF-latin-core,0
P,80,P,LATIN CAPITAL LETTER P,GF-latin-core,0
Q,81,Q,LATIN CAPITAL LETTER Q,GF-latin-core,0
R,82,R,LATIN CAPITAL LETTER R,GF-latin-core,0
S,83,S,LATIN CAPITAL LETTER S,GF-latin-core,0
T,84,T,LATIN CAPITAL LETTER T,GF-latin-core,0
U,85,U,LATIN CAPITAL LETTER U,GF-latin-core,0
V,86,V,LATIN CAPITAL LETTER V,GF-latin-core,0
W,87,W,LATIN CAPITAL LETTER W,GF-latin-core,0
X,88,X,LATIN CAPITAL LETTER X,GF-latin-core,0
Y,89,Y,LATIN CAPITAL LETTER Y,GF-latin-core,0
Z,90,Z,LATIN CAPITAL LETTER Z,GF-latin-core,0
a,97,a,LATIN SMALL LETTER A,GF-latin-core,0
b,98,b,LATIN SMALL LETTER B,GF-latin-core,0
c,99,c,LATIN SMALL LETTER C,GF-latin-core,0
d,100,d,LATIN SMALL LETTER D,GF-latin-core,0
e,101,e,LATIN SMALL LETTER E,GF-latin-core,0
f,102,f,LATIN SMALL LETTER F,GF-latin-core,0
g,103,g,LATIN SMALL LETTER G,GF-latin-core,0
h,104,h,LATIN SMALL LETTER H,GF-latin-core,0
i,105,i,LATIN SMALL LETTER I,GF-latin-core,0
j,106,j,LATIN SMALL LETTER J,GF-latin-core,0
k,107,k,LATIN SMALL LETTER K,GF-latin-core,0
l,108,l,LATIN SMALL LETTER L,GF-latin-core,0
m,109,m,LATIN SMALL LETTER M,GF-latin-core,0
n,110,n,LATIN SMALL LETTER N,GF-latin-core,0
o,111,o,LATIN SMALL LETTER O,GF-latin-core,0
p,112,p,LATIN SMALL LETTER P,GF-latin-core,0
q,113,q,LATIN SMALL LETTER Q,GF-latin-core,0
r,114,r,LATIN SMALL LETTER R,GF-latin-core,0
s,115,s,LATIN SMALL LETTER S,GF-latin-core,0
t,116,t,LATIN SMALL LETTER T,GF-latin-core,0
u,117,u,LATIN SMALL LETTER U,GF-latin-core,0
v,118,v,LATIN SMALL LETTER V,GF-latin-core,0
w,119,w,LATIN SMALL LETTER W,GF-latin-core,0
x,120,x,LATIN SMALL LETTER X,GF-latin-core,0
y,121,y,LATIN SMALL LETTER Y,GF-latin-core,0
z,122,z,LATIN SMALL LETTER Z,GF-latin-core,0
zero,48,0,DIGIT ZERO,GF-latin-core,0
one,49,1,DIGIT ONE,GF-latin-core,0
two,50,2,DIGIT TWO,GF-latin-core,0
three,51,3,DIGIT THREE,GF-latin-core,0
four,52,4,DIGIT FOUR,GF-latin-core,0
five,53,5,DIGIT FIVE,GF-latin-core,0
six,54,6,DIGIT SIX,GF-latin-core,0
seven,55,7,DIGIT SEVEN,GF-latin-core,0
eight,56,8,DIGIT EIGHT,GF-latin-core,0
nine,57,9,DIGIT NINE,GF-latin-core,0
period,46,.,FULL STOP,GF-latin-core,0
comma,44,&comma;,COMMA,GF-latin-core,0
colon,58,:,COLON,GF-latin-core,0
semicolon,59,;,SEMICOLON,GF-latin-core,0
periodcentered,183,·,MIDDLE DOT,GF-latin-core,0
ellipsis,8230,…,HORIZONTAL ELLIPSIS,GF-latin-core,0
exclam,33,!,EXCLAMATION MARK,GF-latin-core,0
exclamdown,161,¡,INVERTED EXCLAMATION MARK,GF-latin-core,0
question,63,?,QUESTION MARK,GF-latin-core,0
questiondown,191,¿,INVERTED QUESTION MARK,GF-latin-core,0
quotesingle,39,',APOSTROPHE,GF-latin-core,0
quotedbl,34,&quot;,QUOTATION MARK,GF-latin-core,0
quoteleft,8216,‘,LEFT SINGLE QUOTATION MARK,GF-latin-core,0
quoteright,8217,’,RIGHT SINGLE QUOTATION MARK,GF-latin-core,0
quotesinglbase,8218,‚,SINGLE LOW-9 QUOTATION MARK,GF-latin-core,0
quotedblleft,8220,“,LEFT DOUBLE QUOTATION MARK,GF-latin-core,0
quotedblright,8221,”,RIGHT DOUBLE QUOTATION MARK,GF-latin-core,0
quotedblbase,8222,„,DOUBLE LOW-9 QUOTATION MARK,GF-latin-core,0
guilsinglleft,8249,‹,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,GF-latin-core,0
guilsinglright,8250,›,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,GF-latin-core,0
guillemetleft,171,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,0
guillemetright,187,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,0
parenleft,40,(,LEFT PARENTHESIS,GF-latin-core,0
parenright,41,),RIGHT PARENTHESIS,GF-latin-core,0
bracketleft,91,[,LEFT SQUARE BRACKET,GF-latin-core,0
bracketright,93,],RIGHT SQUARE BRACKET,GF-latin-core,0
braceleft,123,{,LEFT CURLY BRACKET,GF-latin-core,0
braceright,125,},RIGHT CURLY BRACKET,GF-latin-core,0
slash,47,/,SOLIDUS,GF-latin-core,0
bar,124,|,VERTICAL LINE,GF-latin-core,0
brokenbar,166,¦,BROKEN BAR,GF-latin-core,0
backslash,92,\,REVERSE SOLIDUS,GF-latin-core,0
fraction,8260,⁄,FRACTION SLASH,GF-latin-core,0
bullet,8226,•,BULLET,GF-latin-core,0
hyphen,45,-,HYPHEN-MINUS,GF-latin-core,0
hyphensoft,173,­,SOFT HYPHEN,GF-latin-core,0
endash,8211,–,EN DASH,GF-latin-core,0
emdash,8212,—,EM DASH,GF-latin-core,0
underscore,95,_,LOW LINE,GF-latin-core,0
dollar,36,$,DOLLAR SIGN,GF-latin-core,0
cent,162,¢,CENT SIGN,GF-latin-core,0
sterling,163,£,POUND SIGN,GF-latin-core,0
yen,165,¥,YEN SIGN,GF-latin-core,0
Euro,8364,€,EURO SIGN,GF-latin-core,0
colonmonetary,8353,₡,COLON SIGN,GF-latin-plus,0
franc,8355,₣,FRENCH FRANC SIGN,GF-latin-plus,0
lira,8356,₤,LIRA SIGN,GF-latin-plus,0
naira,8358,₦,NAIRA SIGN,GF-latin-plus,0
peseta,8359,₧,PESETA SIGN,GF-latin-plus,0
won,8361,₩,WON SIGN,GF-latin-plus,0
dong,8363,₫,DONG SIGN,GF-latin-plus,0
kip,8365,₭,KIP SIGN,GF-latin-plus,0
peso,8369,₱,PESO SIGN,GF-latin-plus,0
guarani,8370,₲,GUARANI SIGN,GF-latin-plus,0
cedi,8373,₵,CEDI SIGN,GF-latin-plus,0
indianrupee,8377,₹,INDIAN RUPEE SIGN,GF-latin-plus,0
turkishlira,8378,₺,TURKISH LIRA SIGN,GF-latin-plus,0
manat,8380,₼,MANAT SIGN,GF-latin-plus,0
ruble,8381,₽,RUBLE SIGN,GF-latin-plus,0
numero,8470,№,NUMERO SIGN,GF-latin-plus,0
currency,164,¤,CURRENCY SIGN,GF-latin-core,0
plus,43,+,PLUS SIGN,GF-latin-core,0
minus,8722,−,MINUS SIGN,GF-latin-core,0
multiply,215,×,MULTIPLICATION SIGN,GF-latin-core,0
bulletoperator,8729,∙,BULLET OPERATOR,GF-latin-plus,0
divide,247,÷,DIVISION SIGN,GF-latin-core,0
plusminus,177,±,PLUS-MINUS SIGN,GF-latin-core,0
equal,61,=,EQUALS SIGN,GF-latin-core,0
approxequal,8776,≈,ALMOST EQUAL TO,GF-latin-plus,0
notequal,8800,≠,NOT EQUAL TO,GF-latin-plus,0
less,60,<,LESS-THAN SIGN,GF-latin-core,0
greater,62,>,GREATER-THAN SIGN,GF-latin-core,0
lessequal,8804,≤,LESS-THAN OR EQUAL TO,GF-latin-plus,0
greaterequal,8805,≥,GREATER-THAN OR EQUAL TO,GF-latin-plus,0
bracketangleleft,10216,⟨,MATHEMATICAL LEFT ANGLE BRACKET,GF-latin-plus,0
bracketangleright,10217,⟩,MATHEMATICAL RIGHT ANGLE BRACKET,GF-latin-plus,0
divisionslash,8725,∕,DIVISION SLASH,GF-latin-core,0
logicalnot,172,¬,NOT SIGN,GF-latin-core,0
mu.math,181,µ,MICRO SIGN,GF-latin-core,0
asterisk,42,*,ASTERISK,GF-latin-core,0
dagger,8224,†,DAGGER,GF-latin-plus,0
daggerdbl,8225,‡,DOUBLE DAGGER,GF-latin-plus,0
asciicircum,94,^,CIRCUMFLEX ACCENT,GF-latin-core,0
asciitilde,126,~,TILDE,GF-latin-core,0
percent,37,%,PERCENT SIGN,GF-latin-core,0
perthousand,8240,‰,PER MILLE SIGN,GF-latin-plus,0
degree,176,°,DEGREE SIGN,GF-latin-core,0
minute,8242,′,PRIME,GF-latin-plus,0
